insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 101, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 189, 'Capital Goods', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 65, 'Miscellaneous', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 19, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 139, 'Public Utilities', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (20, 71, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (9, 114, 'Energy', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (13, 99, 'Technology', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 41, 'Consumer Services', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 4, 'Energy', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 114, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 143, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 94, 'Capital Goods', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 167, 'Health Care', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (23, 90, 'Consumer Non-Durables', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (14, 79, 'Sociology', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (12, 136, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 66, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (10, 25, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (7, 35, 'Technology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 80, 'Finance', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 39, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 79, 'Health Care', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 89, 'Consumer Durables', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (24, 44, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 129, 'Consumer Non-Durables', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 175, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 124, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (2, 94, 'Finance', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 135, 'Sociology', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 85, 'Capital Goods', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (21, 74, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 181, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (4, 36, 'Consumer Services', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (16, 70, 'Sociology', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (18, 100, 'Consumer Durables', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (1, 136, 'Consumer Services', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (19, 20, 'Energy', 4);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (5, 16, 'Finance', 2);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (15, 34, 'Consumer Non-Durables', 1);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (3, 200, 'Finance', 3);
insert into ad2223_cmartin.Matricula (IdProfesorado, IdAlumnado, Asignatura, Curso) values (25, 74, 'Sociology', 4);
